Country,id,Alcoholic Beverages,Animal Products,Animal fats,Cereals - Excluding Beer,Fruits - Excluding Wine,Meat,Milk - Excluding Butter,Oilcrops,Starchy Roots,Sugar & Sweeteners,Vegetal Products,Vegetable Oils,Recovered,Mortality,,,,,,,,,,,,,,,,,
Afghanistan, AFG,0,4.7774,0.8504,37.1186,1.4757,1.2006,2.4512,0.1751,0.3252,2.2261,45.2476,2.3012,77,4,,,,,,,,,,,,,,,,,
Albania, ALB,0.912,16.093,1.0591,16.2107,3.8982,3.8688,9.9441,1.0886,1.2651,3.4422,33.907,2.8244,52,2,,,,,,,,,,,,,,,,,
Algeria, DZA,0.0896,6.0326,0.1941,25.0112,3.1805,1.2543,3.9869,0.2688,1.9262,3.9869,43.9749,5.7638,66,3,,,,,,,,,,,,,,,,,
Angola, AGO,1.9388,4.6927,0.2644,18.3521,2.3133,2.9302,0.5067,1.0795,12.6239,2.7539,45.3184,4.2741,56,2,,,,,,,,,,,,,,,,,
Antigua and Barbuda, ATG,2.3041,15.3672,1.5429,13.7215,3.6824,7.0356,4.6904,0.5966,0.8434,5.8218,34.6225,4.6904,93,3,,,,,,,,,,,,,,,,,
Argentina, ARG,1.4354,14.9869,1.065,16.7927,1.4663,9.4459,3.1641,0.0309,1.4045,7.0536,34.99,5.541,89,3,,,,,,,,,,,,,,,,,
Armenia, ARM,0.2274,12.833,1.7706,19.2658,2.5341,4.2235,5.6368,0.2274,1.2508,5.2956,37.167,3.5737,86,2,,,,,,,,,,,,,,,,,
Australia, AUS,1.9783,15.6146,1.9027,11.643,1.6611,7.4902,4.8022,0.6645,1.3138,5.7989,34.3854,8.3812,91,3,,,,,,,,,,,,,,,,,
Austria, AUT,2.8161,15.6106,5.2532,12.3748,1.5976,5.0095,4.0482,0.6905,1.4622,6.2551,34.3894,7.1622,88,1,,,,,,,,,,,,,,,,,
Azerbaijan, AZE,2.2555,8.1682,1.305,28.7417,1.6111,2.9322,3.1738,0.0483,2.2072,3.4155,41.8237,1.2083,66,1,,,,,,,,,,,,,,,,,
