Country,id,Alcoholic Beverages,Animal Products,Animal fats,"Aquatic Products, Other",Cereals - Excluding Beer,Eggs,"Fish, Seafood",Fruits - Excluding Wine,Meat,Milk - Excluding Butter,Miscellaneous,Offals,Oilcrops,Pulses,Spices,Starchy Roots,Stimulants,Sugar Crops,Sugar & Sweeteners,Treenuts,Vegetal Products,Vegetable Oils,Vegetables,RecoveredOld,Cases,Deaths,Recovered,Active,Population,Recovered,Mortality
Cabo Verde, CPV,1.2525,8.5288,1.0537,0,23.8171,0.338,0.3976,1.4513,3.4394,3.2207,0.4374,0.0795,0.4374,2.2068,0.497,1.8887,0.1789,0,3.6183,0.0596,41.4712,4.493,1.1332,1.984892086,11502.00,110.00,"11,137",255,"558,774",97,1
Cote d'Ivoire, CIV,0.4579,2.1612,0.0549,0,18.8278,0.1282,0.641,2.5458,0.8791,0.2747,0.0183,0.1832,1.2088,0.3846,0.2564,15.5495,0.5311,0,1.63,0.8425,47.8388,4.9451,0.641,0.081444126,21772.00,133.00,"21,401",238,"26,676,031",98,1
Djibouti, DJI,0.1306,3.7127,0.2799,0,27.8918,0.0746,0.1493,0.7836,1.4925,1.5858,0.2799,0.1306,0.1119,2.3881,0.2052,0.5597,0.2052,0,6.1754,0.0933,46.2873,6.25,1.2127,0.56902834,5770.00,61.00,"5,635",74,"994,610",98,1
Gabon, GAB,2.0617,7.1874,0.1513,0,18.0064,0.0567,1.0781,5.2771,4.4638,0.9835,0.3215,0.4539,2.3454,0.0378,0,8.398,0.1702,0.0189,2.7237,0.0189,42.8031,2.8939,0.5485,0.412550426,9373.00,63.00,"9,223",87,"2,249,700",98,1
Gambia, GMB,0.3543,3.7394,0.0787,0,26.8845,0.0984,1.1021,0.1771,0.6298,1.791,0.1771,0.0394,4.8219,0.1574,0,0.3543,0.0787,0,5.5895,0.0787,46.2704,7.282,0.2952,0.150889532,3786.00,123.00,"3,654",9,"2,447,521",97,3
Ghana, GHA,0.3956,2.1263,0.0989,0,13.8784,0.0659,0.923,5.6865,0.7417,0.2308,0.0494,0.0824,1.6812,1.0219,0.5769,19.6143,0,0.0659,1.9779,0.0989,47.8655,2.4065,0.4121,0.166578702,53553.00,331.00,"52,266",956,"31,369,658",98,1
Guinea-Bissau, GNB,0.6881,3.8624,0.1554,0,28.6127,0.0666,0.0444,1.9534,2.5971,0.8657,0.1332,0.111,0.5771,0.3996,0,4.1065,0.0666,0,0.6881,1.1543,46.1487,7.5028,0.2664,0.121276596,2447.00,44.00,"2,378",25,"1,989,226",97,2
Iceland, ISL,2.0403,22.2911,2.9915,0,10.7803,0.5928,2.2746,2.2195,7.5958,8.5746,0.4687,0.2619,0.4825,0.0965,0.1654,1.0753,0.9374,0,5.3212,0.2481,27.7089,3.019,0.8547,1.465217391,5588.00,28.00,"5,423",137,"342,269",97,1
Kuwait, KWT,0,9.1727,0.5806,0,20.4209,1.016,0.3048,2.5109,4.1655,2.9753,0.3193,0.1306,0.4644,0.8273,0.3774,1.2337,0.6096,0,6.1393,0.4209,40.8418,5.762,1.7271,3.034683436,147192.00,913.00,"143,113","3,166","4,299,620",97,1
Madagascar, MDG,0.289,3.5208,0.1839,0,31.2401,0.0525,0.2627,1.4714,1.8129,1.051,0.0263,0.1314,0.2102,0.762,0.0788,7.9874,0.0788,0.1051,2.207,0.0263,46.4792,1.7341,0.289,0.061362898,17587.00,259.00,"16,992",336,"28,015,240",97,1
