Country,id,Source,Food_source_percentage,Recovered
Cabo Verde, CPV,Alcoholic Beverages,1.2525,97
Cabo Verde, CPV,Animal Products,8.5288,97
Cabo Verde, CPV,Animal fats,1.0537,97
Cabo Verde, CPV,Cereals - Excluding Beer,23.8171,97
Cabo Verde, CPV,Fruits - Excluding Wine,1.4513,97
Cabo Verde, CPV,Meat,3.4394,97
Cabo Verde, CPV,Milk - Excluding Butter,3.2207,97
Cabo Verde, CPV,Oilcrops,0.4374,97
Cabo Verde, CPV,Starchy Roots,1.8887,97
Cabo Verde, CPV,Sugar & Sweeteners,3.6183,97
Cabo Verde, CPV,Vegetal Products,41.4712,97
Cabo Verde, CPV,Vegetable Oils,4.493,97
Chile, CHL,Alcoholic Beverages,1.5942,95
Chile, CHL,Animal Products,12.3547,95
Chile, CHL,Animal fats,1.3783,95
Chile, CHL,Cereals - Excluding Beer,19.5782,95
Chile, CHL,Fruits - Excluding Wine,1.2786,95
Chile, CHL,Meat,7.4228,95
Chile, CHL,Milk - Excluding Butter,2.4909,95
Chile, CHL,Oilcrops,0.3819,95
Chile, CHL,Starchy Roots,2.1421,95
Chile, CHL,Sugar & Sweeteners,7.6387,95
Chile, CHL,Vegetal Products,37.6453,95
Chile, CHL,Vegetable Oils,2.823,95
Cote d'Ivoire, CIV,Alcoholic Beverages,0.4579,98
Cote d'Ivoire, CIV,Animal Products,2.1612,98
Cote d'Ivoire, CIV,Animal fats,0.0549,98
Cote d'Ivoire, CIV,Cereals - Excluding Beer,18.8278,98
Cote d'Ivoire, CIV,Fruits - Excluding Wine,2.5458,98
Cote d'Ivoire, CIV,Meat,0.8791,98
Cote d'Ivoire, CIV,Milk - Excluding Butter,0.2747,98
Cote d'Ivoire, CIV,Oilcrops,1.2088,98
Cote d'Ivoire, CIV,Starchy Roots,15.5495,98
Cote d'Ivoire, CIV,Sugar & Sweeteners,1.63,98
Cote d'Ivoire, CIV,Vegetal Products,47.8388,98
Cote d'Ivoire, CIV,Vegetable Oils,4.9451,98
Djibouti, DJI,Alcoholic Beverages,0.1306,98
Djibouti, DJI,Animal Products,3.7127,98
Djibouti, DJI,Animal fats,0.2799,98
Djibouti, DJI,Cereals - Excluding Beer,27.8918,98
Djibouti, DJI,Fruits - Excluding Wine,0.7836,98
Djibouti, DJI,Meat,1.4925,98
Djibouti, DJI,Milk - Excluding Butter,1.5858,98
Djibouti, DJI,Oilcrops,0.1119,98
Djibouti, DJI,Starchy Roots,0.5597,98
Djibouti, DJI,Sugar & Sweeteners,6.1754,98
Djibouti, DJI,Vegetal Products,46.2873,98
Djibouti, DJI,Vegetable Oils,6.25,98
Gabon, GAB,Alcoholic Beverages,2.0617,98
Gabon, GAB,Animal Products,7.1874,98
Gabon, GAB,Animal fats,0.1513,98
Gabon, GAB,Cereals - Excluding Beer,18.0064,98
Gabon, GAB,Fruits - Excluding Wine,5.2771,98
Gabon, GAB,Meat,4.4638,98
Gabon, GAB,Milk - Excluding Butter,0.9835,98
Gabon, GAB,Oilcrops,2.3454,98
Gabon, GAB,Starchy Roots,8.398,98
Gabon, GAB,Sugar & Sweeteners,2.7237,98
Gabon, GAB,Vegetal Products,42.8031,98
Gabon, GAB,Vegetable Oils,2.8939,98
Gambia, GMB,Alcoholic Beverages,0.3543,97
Gambia, GMB,Animal Products,3.7394,97
Gambia, GMB,Animal fats,0.0787,97
Gambia, GMB,Cereals - Excluding Beer,26.8845,97
Gambia, GMB,Fruits - Excluding Wine,0.1771,97
Gambia, GMB,Meat,0.6298,97
Gambia, GMB,Milk - Excluding Butter,1.791,97
Gambia, GMB,Oilcrops,4.8219,97
Gambia, GMB,Starchy Roots,0.3543,97
Gambia, GMB,Sugar & Sweeteners,5.5895,97
Gambia, GMB,Vegetal Products,46.2704,97
Gambia, GMB,Vegetable Oils,7.282,97
Ghana, GHA,Alcoholic Beverages,0.3956,98
Ghana, GHA,Animal Products,2.1263,98
Ghana, GHA,Animal fats,0.0989,98
Ghana, GHA,Cereals - Excluding Beer,13.8784,98
Ghana, GHA,Fruits - Excluding Wine,5.6865,98
Ghana, GHA,Meat,0.7417,98
Ghana, GHA,Milk - Excluding Butter,0.2308,98
Ghana, GHA,Oilcrops,1.6812,98
Ghana, GHA,Starchy Roots,19.6143,98
Ghana, GHA,Sugar & Sweeteners,1.9779,98
Ghana, GHA,Vegetal Products,47.8655,98
Ghana, GHA,Vegetable Oils,2.4065,98
Iceland, ISL,Alcoholic Beverages,2.0403,97
Iceland, ISL,Animal Products,22.2911,97
Iceland, ISL,Animal fats,2.9915,97
Iceland, ISL,Cereals - Excluding Beer,10.7803,97
Iceland, ISL,Fruits - Excluding Wine,2.2195,97
Iceland, ISL,Meat,7.5958,97
Iceland, ISL,Milk - Excluding Butter,8.5746,97
Iceland, ISL,Oilcrops,0.4825,97
Iceland, ISL,Starchy Roots,1.0753,97
Iceland, ISL,Sugar & Sweeteners,5.3212,97
Iceland, ISL,Vegetal Products,27.7089,97
Iceland, ISL,Vegetable Oils,3.019,97
Kuwait, KWT,Alcoholic Beverages,0,97
Kuwait, KWT,Animal Products,9.1727,97
Kuwait, KWT,Animal fats,0.5806,97
Kuwait, KWT,Cereals - Excluding Beer,20.4209,97
Kuwait, KWT,Fruits - Excluding Wine,2.5109,97
Kuwait, KWT,Meat,4.1655,97
Kuwait, KWT,Milk - Excluding Butter,2.9753,97
Kuwait, KWT,Oilcrops,0.4644,97
Kuwait, KWT,Starchy Roots,1.2337,97
Kuwait, KWT,Sugar & Sweeteners,6.1393,97
Kuwait, KWT,Vegetal Products,40.8418,97
Kuwait, KWT,Vegetable Oils,5.762,97
Madagascar, MDG,Alcoholic Beverages,0.289,97
Madagascar, MDG,Animal Products,3.5208,97
Madagascar, MDG,Animal fats,0.1839,97
Madagascar, MDG,Cereals - Excluding Beer,31.2401,97
Madagascar, MDG,Fruits - Excluding Wine,1.4714,97
Madagascar, MDG,Meat,1.8129,97
Madagascar, MDG,Milk - Excluding Butter,1.051,97
Madagascar, MDG,Oilcrops,0.2102,97
Madagascar, MDG,Starchy Roots,7.9874,97
Madagascar, MDG,Sugar & Sweeteners,2.207,97
Madagascar, MDG,Vegetal Products,46.4792,97
Madagascar, MDG,Vegetable Oils,1.7341,97
Maldives, MDV,Alcoholic Beverages,0.3552,96
Maldives, MDV,Animal Products,12.1226,96
Maldives, MDV,Animal fats,0.9325,96
Maldives, MDV,Cereals - Excluding Beer,22.5577,96
Maldives, MDV,Fruits - Excluding Wine,2.1314,96
Maldives, MDV,Meat,1.8872,96
Maldives, MDV,Milk - Excluding Butter,3.8854,96
Maldives, MDV,Oilcrops,0.3552,96
Maldives, MDV,Starchy Roots,0.8215,96
Maldives, MDV,Sugar & Sweeteners,5.373,96
Maldives, MDV,Vegetal Products,37.8996,96
Maldives, MDV,Vegetable Oils,0.9325,96
New Zealand, NZL,Alcoholic Beverages,1.6474,96
New Zealand, NZL,Animal Products,15.1117,96
New Zealand, NZL,Animal fats,4.562,96
New Zealand, NZL,Cereals - Excluding Beer,14.4781,96
New Zealand, NZL,Fruits - Excluding Wine,1.6632,96
New Zealand, NZL,Meat,6.8747,96
New Zealand, NZL,Milk - Excluding Butter,2.2968,96
New Zealand, NZL,Oilcrops,0.8871,96
New Zealand, NZL,Starchy Roots,1.5524,96
New Zealand, NZL,Sugar & Sweeteners,8.8706,96
New Zealand, NZL,Vegetal Products,34.8804,96
New Zealand, NZL,Vegetable Oils,3.3581,96
Saudi Arabia, SAU,Alcoholic Beverages,0,97
Saudi Arabia, SAU,Animal Products,7.59,97
Saudi Arabia, SAU,Animal fats,0.7825,97
Saudi Arabia, SAU,Cereals - Excluding Beer,23.4585,97
Saudi Arabia, SAU,Fruits - Excluding Wine,3.2707,97
Saudi Arabia, SAU,Meat,3.349,97
Saudi Arabia, SAU,Milk - Excluding Butter,2.6448,97
Saudi Arabia, SAU,Oilcrops,0.2347,97
Saudi Arabia, SAU,Starchy Roots,0.5321,97
Saudi Arabia, SAU,Sugar & Sweeteners,4.6479,97
Saudi Arabia, SAU,Vegetal Products,42.41,97
Saudi Arabia, SAU,Vegetable Oils,7.2457,97
Suriname, SUR,Alcoholic Beverages,1.4479,97
Suriname, SUR,Animal Products,6.2001,97
Suriname, SUR,Animal fats,0.2042,97
Suriname, SUR,Cereals - Excluding Beer,20.8094,97
Suriname, SUR,Fruits - Excluding Wine,2.5617,97
Suriname, SUR,Meat,3.8426,97
Suriname, SUR,Milk - Excluding Butter,1.1138,97
Suriname, SUR,Oilcrops,1.0581,97
Suriname, SUR,Starchy Roots,1.188,97
Suriname, SUR,Sugar & Sweeteners,7.5924,97
Suriname, SUR,Vegetal Products,43.7906,97
Suriname, SUR,Vegetable Oils,6.8127,97
Tajikistan, TJK,Alcoholic Beverages,0.1427,96
Tajikistan, TJK,Animal Products,5.1831,96
Tajikistan, TJK,Animal fats,0,96
Tajikistan, TJK,Cereals - Excluding Beer,27.4132,96
