Country,id,Recovered,Mortality,Obesity,Undernourished,Malnourished
Afghanistan, AFG,77,4,4.5,29.8,1
Albania, ALB,52,2,22.3,6.2,0
Algeria, DZA,66,3,26.6,3.9,0
Angola, AGO,56,2,6.8,25,1
Argentina, ARG,89,3,28.5,4.6,0
Armenia, ARM,86,2,20.9,4.3,0
Australia, AUS,91,3,30.4,<2.5,0
Austria, AUT,88,1,21.9,<2.5,0
Azerbaijan, AZE,66,1,19.9,<2.5,0
Bangladesh, BGD,87,1,3.4,14.7,0
Barbados, BRB,91,2,24.8,3.9,0
Belarus, BLR,87,1,26.6,<2.5,0
Belgium, BEL,7,3,24.5,<2.5,0
Belize, BLZ,49,2,22.4,7.5,0
Benin, BEN,94,1,8.2,10.1,0
Bolivia, BOL,86,6,18.7,17.1,1
Bosnia and Herzegovina, BIH,67,3,19.4,<2.5,0
Botswana, BWA,81,0,16.1,26.4,1
Brazil, BRA,87,3,22.3,<2.5,0
Bulgaria, BGR,50,3,27.4,3.6,0
Burkina Faso, BFA,72,2,4.5,20,1
Cabo Verde, CPV,97,1,10.6,12.6,0
Cameroon, CMR,94,2,9.5,9.9,0
Canada, CAN,82,3,31.3,<2.5,0
Central African Republic, CAF,39,1,6.3,59.6,1
Chad, TCD,89,6,4.8,37.5,1
Chile, CHL,95,3,28.8,2.7,0
China, CHN,94,5,6.6,8.5,0
Colombia, COL,91,3,22.1,4.8,0
Congo, COG,80,2,8.4,40.3,1
Costa Rica, CRI,80,1,25.7,4.8,0
Cote d'Ivoire, CIV,98,1,9,19,1
Croatia, HRV,86,2,27.1,<2.5,0
Cuba, CUB,90,1,26.7,<2.5,0
Cyprus, CYP,13,1,22.6,5.6,0
Czechia, CZE,86,2,28.5,<2.5,0
Denmark, DNK,69,1,21.3,<2.5,0
Djibouti, DJI,98,1,12.2,18.9,1
Dominican Republic, DOM,78,2,26.9,9.5,0
Ecuador, ECU,87,7,19.3,7.9,0
Egypt, EGY,86,6,31.1,4.5,0
El Salvador, SLV,91,3,22.7,9,0
Estonia, EST,63,1,23.8,2.9,0
Eswatini, SWZ,93,2,13.5,20.6,1
Ethiopia, ETH,84,2,3.6,20.6,1
Fiji, FJI,91,4,30,3.7,0
Finland, FIN,70,2,24.9,<2.5,0
France, FRA,7,2,23.2,<2.5,0
Gabon, GAB,98,1,13.4,10.5,0
Gambia, GMB,97,3,8.7,10.2,0
Georgia, GEO,84,1,23.3,7.9,0
Germany, DEU,73,2,25.7,<2.5,0
Ghana, GHA,98,1,9.7,5.5,0
Greece, GRC,8,3,27.4,<2.5,0
Guatemala, GTM,91,3,18.8,15.2,1
Guinea, GIN,95,1,6.6,16.5,1
Guinea-Bissau, GNB,97,2,8.2,28,1
Guyana, GUY,86,3,19.2,8.1,0
Haiti, HTI,86,2,20.5,49.3,1
Honduras, HND,46,3,19.4,12.9,0
Hungary, HUN,30,3,28.6,<2.5,0
Iceland, ISL,97,1,23.1,<2.5,0
India, IND,95,1,3.8,14.5,1
Indonesia, IDN,82,3,6.9,8.3,0
