Country,id,Source,Food_source_percentage,Recovered
Belgium, BEL,Alcoholic Beverages,2.3089,7
Belgium, BEL,Animal Products,14.1587,7
Belgium, BEL,Animal fats,4.7771,7
Belgium, BEL,Cereals - Excluding Beer,13.0441,7
Belgium, BEL,Fruits - Excluding Wine,1.38,7
Belgium, BEL,Meat,3.2776,7
Belgium, BEL,Milk - Excluding Butter,4.6311,7
Belgium, BEL,Oilcrops,0.2389,7
Belgium, BEL,Starchy Roots,2.1895,7
Belgium, BEL,Sugar & Sweeteners,6.8073,7
Belgium, BEL,Vegetal Products,35.8413,7
Belgium, BEL,Vegetable Oils,7.0727,7
Cyprus, CYP,Alcoholic Beverages,1.6826,13
Cyprus, CYP,Animal Products,12.8681,13
Cyprus, CYP,Animal fats,0.7075,13
Cyprus, CYP,Cereals - Excluding Beer,15.392,13
Cyprus, CYP,Fruits - Excluding Wine,1.9312,13
Cyprus, CYP,Meat,5.9847,13
Cyprus, CYP,Milk - Excluding Butter,4.5698,13
Cyprus, CYP,Oilcrops,1.0134,13
Cyprus, CYP,Starchy Roots,0.9943,13
Cyprus, CYP,Sugar & Sweeteners,4.4933,13
Cyprus, CYP,Vegetal Products,37.1511,13
Cyprus, CYP,Vegetable Oils,7.4379,13
France, FRA,Alcoholic Beverages,1.9955,7
France, FRA,Animal Products,16.9899,7
France, FRA,Animal fats,3.6818,7
France, FRA,Cereals - Excluding Beer,13.8983,7
France, FRA,Fruits - Excluding Wine,1.6582,7
France, FRA,Meat,6.1551,7
France, FRA,Milk - Excluding Butter,5.3963,7
France, FRA,Oilcrops,0.3513,7
France, FRA,Starchy Roots,1.321,7
France, FRA,Sugar & Sweeteners,5.5509,7
France, FRA,Vegetal Products,33.0101,7
France, FRA,Vegetable Oils,6.0568,7
Greece, GRC,Alcoholic Beverages,1.0285,8
Greece, GRC,Animal Products,11.4771,8
Greece, GRC,Animal fats,0.7006,8
Greece, GRC,Cereals - Excluding Beer,14.4731,8
Greece, GRC,Fruits - Excluding Wine,2.2954,8
Greece, GRC,Meat,4.1586,8
Greece, GRC,Milk - Excluding Butter,5.4255,8
Greece, GRC,Oilcrops,0.8794,8
Greece, GRC,Starchy Roots,1.5203,8
Greece, GRC,Sugar & Sweeteners,4.2629,8
Greece, GRC,Vegetal Products,38.5303,8
Greece, GRC,Vegetable Oils,10.1654,8
Serbia, SRB,Alcoholic Beverages,2.5678,11
Serbia, SRB,Animal Products,13.1419,11
Serbia, SRB,Animal fats,1.1056,11
Serbia, SRB,Cereals - Excluding Beer,20.0428,11
Serbia, SRB,Fruits - Excluding Wine,2.1041,11
Serbia, SRB,Meat,6.2946,11
Serbia, SRB,Milk - Excluding Butter,4.6541,11
Serbia, SRB,Oilcrops,0.3923,11
Serbia, SRB,Starchy Roots,1.2482,11
Serbia, SRB,Sugar & Sweeteners,5.2247,11
Serbia, SRB,Vegetal Products,36.8581,11
Serbia, SRB,Vegetable Oils,2.6748,11
Belize, BLZ,Alcoholic Beverages,1.5199,49
Belize, BLZ,Animal Products,9.1752,49
Belize, BLZ,Animal fats,2.6135,49
Belize, BLZ,Cereals - Excluding Beer,18.9064,49
Belize, BLZ,Fruits - Excluding Wine,2.5209,49
Belize, BLZ,Meat,3.9481,49
Belize, BLZ,Milk - Excluding Butter,1.8906,49
Belize, BLZ,Oilcrops,0.6117,49
Belize, BLZ,Starchy Roots,0.5005,49
Belize, BLZ,Sugar & Sweeteners,7.6367,49
Belize, BLZ,Vegetal Products,40.8526,49
Belize, BLZ,Vegetable Oils,5.1158,49
Central African Republic, CAF,Alcoholic Beverages,0.5402,39
Central African Republic, CAF,Animal Products,7.3927,39
Central African Republic, CAF,Animal fats,0.7393,39
Central African Republic, CAF,Cereals - Excluding Beer,8.9565,39
Central African Republic, CAF,Fruits - Excluding Wine,1.905,39
Central African Republic, CAF,Meat,4.9758,39
Central African Republic, CAF,Milk - Excluding Butter,0.8814,39
Central African Republic, CAF,Oilcrops,2.3031,39
Central African Republic, CAF,Starchy Roots,19.6759,39
Central African Republic, CAF,Sugar & Sweeteners,1.706,39
Central African Republic, CAF,Vegetal Products,42.5931,39
Central African Republic, CAF,Vegetable Oils,4.8052,39
French Polynesia, PYF,Alcoholic Beverages,1.4879,30
French Polynesia, PYF,Animal Products,15.0676,30
French Polynesia, PYF,Animal fats,1.8129,30
French Polynesia, PYF,Cereals - Excluding Beer,15.8885,30
French Polynesia, PYF,Fruits - Excluding Wine,1.0433,30
French Polynesia, PYF,Meat,8.1409,30
